signal,position,rho_pooled,q5_mean_lift,mae_lift_vs_player,mae_lift_vs_position,support_flag
assists,DEF,0.2713,5.995,-0.1921,0.0,
assists,FWD,0.3683,8.359,-0.1999,0.0,
assists,MID,0.4547,7.654,-0.2194,0.0,
bonus,DEF,0.4949,8.13,-0.2265,0.0,
bonus,FWD,0.6419,7.174,-0.2557,0.0,
bonus,GK,0.5371,6.595,-0.1046,0.0,
bonus,MID,0.5324,7.722,-0.2194,0.0,
bps,DEF,0.8548,5.079,1.0935,1.32,
bps,FWD,0.8043,5.285,1.1011,1.3568,
bps,GK,0.9061,4.681,1.2032,1.3078,
bps,MID,0.8348,4.808,0.8215,1.0409,
clean_sheets,DEF,0.6778,4.605,-0.2265,0.0,
clean_sheets,FWD,0.2748,1.051,-0.2557,0.0,
clean_sheets,GK,0.7578,4.154,-0.1046,0.0,
clean_sheets,MID,0.4189,1.745,-0.2194,0.0,
creativity,DEF,0.1948,0.625,-0.1693,0.0572,
creativity,FWD,0.2139,1.06,-0.0843,0.1156,
creativity,GK,0.0312,1.134,-0.1071,0.0,
creativity,MID,0.4672,1.491,-0.0214,0.198,
fdr_avg,DEF,-0.1503,-0.041,-0.4022,-0.1756,
fdr_avg,FWD,-0.0918,-0.036,-0.4986,-0.2428,
fdr_avg,GK,-0.1483,-0.043,-0.3517,-0.2471,
fdr_avg,MID,-0.0791,-0.029,-0.3932,-0.1738,
fdr_max,DEF,-0.1359,-0.041,-0.4043,-0.1778,
fdr_max,FWD,-0.0851,-0.036,-0.4986,-0.2428,
fdr_max,GK,-0.1347,-0.043,-0.3547,-0.2501,
fdr_max,MID,-0.0678,-0.029,-0.3939,-0.1745,
fdr_min,DEF,-0.1592,-0.054,-0.4536,-0.2271,
fdr_min,FWD,-0.1,-0.039,-0.4964,-0.2407,
fdr_min,GK,-0.1606,-0.052,-0.3888,-0.2841,
fdr_min,MID,-0.0849,-0.038,-0.4395,-0.2201,
fixture_count,DEF,0.0975,3.171,-0.2265,0.0,
fixture_count,FWD,0.0627,1.397,-0.2557,0.0,
fixture_count,GK,0.1196,2.893,-0.1046,0.0,
fixture_count,MID,0.0819,2.033,-0.2194,0.0,
goals_conceded,DEF,-0.4017,-1.421,-0.2265,0.0,
goals_conceded,FWD,0.2417,0.795,-0.2557,0.0,
goals_conceded,GK,-0.7661,-1.686,-0.2807,-0.1761,
goals_conceded,MID,0.1516,0.344,-0.2194,0.0,
goals_scored,DEF,0.3188,14.388,-0.1921,0.0,
goals_scored,FWD,0.8486,9.421,-0.1999,0.0,
goals_scored,MID,0.5093,13.418,-0.2194,0.0,
ict_index,DEF,0.4902,2.502,0.1757,0.4023,
ict_index,FWD,0.7778,4.599,0.8372,1.093,
ict_index,GK,0.3483,1.197,-0.064,0.0406,
ict_index,MID,0.6864,3.616,0.4117,0.6311,
influence,DEF,0.5691,3.127,0.2635,0.4901,
influence,FWD,,,,,insufficient_support
influence,GK,0.3522,1.139,-0.0633,0.0414,
influence,MID,0.7504,4.468,0.6865,0.9059,
minutes,DEF,,,,,insufficient_support
minutes,FWD,0.628,3.529,0.0416,0.2973,
minutes,GK,0.1848,0.0,-0.1046,0.0,
minutes,MID,0.6525,4.306,0.185,0.4044,
ownership_count,DEF,0.1888,0.777,-0.1651,0.0614,
ownership_count,FWD,0.3049,1.339,-0.1524,0.1034,
ownership_count,GK,0.073,-0.052,-0.0763,0.0283,
ownership_count,MID,0.27,1.261,-0.1683,0.051,
purchase_price,DEF,0.1418,0.687,-0.1966,0.0299,
purchase_price,FWD,0.2638,1.28,-0.1683,0.0874,
purchase_price,GK,0.0786,0.468,-0.0769,0.0277,
purchase_price,MID,0.1852,0.943,-0.2047,0.0146,
saves,GK,0.3175,0.926,-0.0982,0.0065,
starts,DEF,0.4007,4.936,-0.2265,0.0,
starts,FWD,0.6068,3.806,-0.2557,0.0,
starts,GK,0.1625,2.893,-0.1046,0.0,
starts,MID,0.607,4.616,-0.2194,0.0,
threat,DEF,,,,,insufficient_support
threat,FWD,0.5159,3.0,0.4905,0.6904,
threat,MID,,,,,insufficient_support
transfers_balance,DEF,0.1192,0.985,-0.1561,0.0705,
transfers_balance,FWD,0.1024,1.112,-0.1711,0.0847,
transfers_balance,GK,0.0836,0.504,-0.085,0.0196,
transfers_balance,MID,0.1262,1.134,-0.1527,0.0667,
transfers_in,DEF,0.2401,1.021,-0.1318,0.0948,
transfers_in,FWD,0.3612,1.163,-0.1517,0.1041,
transfers_in,GK,0.1277,0.452,-0.0765,0.0282,
transfers_in,MID,0.3467,1.315,-0.1404,0.079,
transfers_out,DEF,0.1655,0.609,-0.1712,0.0553,
transfers_out,FWD,0.2727,0.7,-0.1864,0.0694,
transfers_out,GK,0.0328,-0.148,-0.0834,0.0212,
transfers_out,MID,0.2686,0.889,-0.18,0.0393,
was_home,DEF,0.0766,0.18,-0.219,0.0,
was_home,FWD,0.0042,0.044,-0.244,0.0,
was_home,GK,0.07,0.14,-0.0994,0.0,
was_home,MID,0.0325,0.117,-0.2251,0.0,
xa,DEF,,,,,insufficient_support
xa,FWD,,,,,insufficient_support
xa,GK,-0.0275,0.047,-0.1046,0.0,
xa,MID,0.4249,1.395,-0.0777,0.1417,
xg,DEF,0.2475,-0.55,-0.2265,0.0,
xg,FWD,0.47,3.142,0.3515,0.5513,
xg,MID,,,,,insufficient_support
xgc,DEF,0.0559,-0.42,-0.1552,0.0713,
xgc,FWD,0.385,0.982,-0.1686,0.0872,
xgc,GK,-0.2148,-0.857,0.0126,0.1172,
xgc,MID,0.3733,0.713,-0.1099,0.1094,
xgi,DEF,,,,,insufficient_support
xgi,FWD,0.4927,3.154,0.377,0.5768,
xgi,GK,-0.0294,0.024,-0.1046,0.0,
xgi,MID,0.5084,2.302,0.0483,0.2677,
yellow_cards,DEF,-0.1796,-0.908,-0.2265,0.0,
yellow_cards,FWD,-0.0003,0.824,-0.2557,0.0,
yellow_cards,GK,-0.1569,-1.132,-0.1046,0.0,
yellow_cards,MID,-0.1334,-1.967,-0.2194,0.0,
