signal,position,rho_primary,rho_minimal,delta_rho,population_robustness
assists,DEF,0.266,0.266,0.0,stable
assists,FWD,0.3683,0.3683,0.0,stable
assists,GK,0.0684,0.0684,0.0,stable
assists,MID,0.4877,0.4877,0.0,stable
bonus,DEF,0.5489,0.5489,0.0,stable
bonus,FWD,0.8083,0.8083,0.0,stable
bonus,GK,0.5405,0.5405,0.0,stable
bonus,MID,0.6225,0.6225,0.0,stable
bps,DEF,0.8658,0.8658,0.0,stable
bps,FWD,0.8575,0.8575,0.0,stable
bps,GK,0.9099,0.9099,0.0,stable
bps,MID,0.7254,0.7254,0.0,stable
clean_sheets,DEF,0.7253,0.7253,0.0,stable
clean_sheets,FWD,-0.0069,-0.0069,0.0,stable
clean_sheets,GK,0.767,0.767,0.0,stable
clean_sheets,MID,0.2931,0.2931,0.0,stable
creativity,DEF,0.0239,0.0239,0.0,stable
creativity,FWD,0.1842,0.1842,0.0,stable
creativity,GK,0.018,0.018,0.0,stable
creativity,MID,0.1829,0.1829,0.0,stable
fdr_avg,DEF,-0.2073,-0.2073,0.0,stable
fdr_avg,FWD,-0.1098,-0.1098,0.0,stable
fdr_avg,GK,-0.1564,-0.1564,0.0,stable
fdr_avg,MID,-0.1636,-0.1636,0.0,stable
fdr_max,DEF,-0.1927,-0.1927,0.0,stable
fdr_max,FWD,-0.0932,-0.0932,0.0,stable
fdr_max,GK,-0.1453,-0.1453,0.0,stable
fdr_max,MID,-0.1519,-0.1519,0.0,stable
fdr_min,DEF,-0.2151,-0.2151,0.0,stable
fdr_min,FWD,-0.1227,-0.1227,0.0,stable
fdr_min,GK,-0.1663,-0.1663,0.0,stable
fdr_min,MID,-0.1683,-0.1683,0.0,stable
fixture_count,DEF,0.0926,0.0926,0.0,stable
fixture_count,FWD,0.1287,0.1287,0.0,stable
fixture_count,GK,0.1065,0.1065,0.0,stable
fixture_count,MID,0.0793,0.0793,0.0,stable
goals_conceded,DEF,-0.7294,-0.7294,0.0,stable
goals_conceded,FWD,0.0239,0.0239,0.0,stable
goals_conceded,GK,-0.8014,-0.8014,0.0,stable
goals_conceded,MID,-0.2516,-0.2516,0.0,stable
goals_scored,DEF,0.311,0.311,0.0,stable
goals_scored,FWD,0.8537,0.8537,0.0,stable
goals_scored,GK,,,,untested
goals_scored,MID,0.5839,0.5839,0.0,stable
ict_index,DEF,0.3114,0.3114,0.0,stable
ict_index,FWD,0.7295,0.7295,0.0,stable
ict_index,GK,0.3287,0.3287,0.0,stable
ict_index,MID,0.5298,0.5298,0.0,stable
influence,DEF,0.4187,0.4187,0.0,stable
influence,FWD,0.7933,0.7933,0.0,stable
influence,GK,0.3387,0.3387,0.0,stable
influence,MID,0.6945,0.6945,0.0,stable
minutes,DEF,0.1057,0.1057,0.0,stable
minutes,FWD,0.172,0.172,0.0,stable
minutes,GK,0.125,0.125,0.0,stable
minutes,MID,0.1663,0.1663,0.0,stable
ownership_count,DEF,0.1038,0.1038,0.0,stable
ownership_count,FWD,0.1556,0.1556,0.0,stable
ownership_count,GK,0.0555,0.0555,0.0,stable
ownership_count,MID,0.119,0.119,0.0,stable
purchase_price,DEF,0.1289,0.1289,0.0,stable
purchase_price,FWD,0.1258,0.1258,0.0,stable
purchase_price,GK,0.0772,0.0772,0.0,stable
purchase_price,MID,0.0973,0.0973,0.0,stable
red_cards,DEF,-0.0651,-0.0651,0.0,stable
red_cards,FWD,,,,untested
red_cards,GK,,,,untested
red_cards,MID,-0.0645,-0.0645,0.0,stable
saves,DEF,,,,untested
saves,FWD,,,,untested
saves,GK,0.307,0.307,0.0,stable
saves,MID,,,,untested
starts,DEF,0.1045,0.1045,0.0,stable
starts,FWD,0.1214,0.1214,0.0,stable
starts,GK,0.117,0.117,0.0,stable
starts,MID,0.0788,0.0788,0.0,stable
threat,DEF,0.1378,0.1378,0.0,stable
threat,FWD,0.5155,0.5155,0.0,stable
threat,GK,-0.0647,-0.0647,0.0,stable
threat,MID,0.3033,0.3033,0.0,stable
transfers_balance,DEF,0.0888,0.0888,0.0,stable
transfers_balance,FWD,0.0322,0.0322,0.0,stable
transfers_balance,GK,0.1003,0.1003,0.0,stable
transfers_balance,MID,0.0075,0.0075,0.0,stable
transfers_in,DEF,0.12,0.12,0.0,stable
transfers_in,FWD,0.1109,0.1109,0.0,stable
transfers_in,GK,0.1134,0.1134,0.0,stable
transfers_in,MID,0.0966,0.0966,0.0,stable
transfers_out,DEF,0.0694,0.0694,0.0,stable
transfers_out,FWD,0.0635,0.0635,0.0,stable
transfers_out,GK,0.0178,0.0178,0.0,stable
transfers_out,MID,0.0944,0.0944,0.0,stable
was_home,DEF,0.0876,0.0876,0.0,stable
was_home,FWD,0.0284,0.0284,0.0,stable
was_home,GK,0.0694,0.0694,0.0,stable
was_home,MID,0.0573,0.0573,0.0,stable
xa,DEF,0.0502,0.0502,0.0,stable
xa,FWD,0.1755,0.1755,0.0,stable
xa,GK,-0.0701,-0.0701,0.0,stable
xa,MID,0.1699,0.1699,0.0,stable
xg,DEF,0.1468,0.1468,0.0,stable
xg,FWD,0.4724,0.4724,0.0,stable
xg,GK,-0.0143,-0.0143,0.0,stable
xg,MID,0.2672,0.2672,0.0,stable
xgc,DEF,-0.3128,-0.3128,0.0,stable
xgc,FWD,0.0106,0.0106,0.0,stable
xgc,GK,-0.2556,-0.2556,0.0,stable
xgc,MID,-0.1163,-0.1163,0.0,stable
xgi,DEF,0.1514,0.1514,0.0,stable
xgi,FWD,0.4919,0.4919,0.0,stable
xgi,GK,-0.0715,-0.0715,0.0,stable
xgi,MID,0.3098,0.3098,0.0,stable
yellow_cards,DEF,-0.2213,-0.2213,0.0,stable
yellow_cards,FWD,-0.0531,-0.0531,0.0,stable
yellow_cards,GK,-0.1368,-0.1368,0.0,stable
yellow_cards,MID,-0.2468,-0.2468,0.0,stable
