signal,position,population_scope,population_robustness,preferred_population,temporal_stability,association_class,downstream_status,promotion_class,construct_relationship_present
assists,DEF,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
assists,FWD,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
assists,GK,primary,stable,both,stable,unassessable,blocked,,False
assists,MID,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
bonus,DEF,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
bonus,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
bonus,GK,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
bonus,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
bps,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,False
bps,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
bps,GK,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
bps,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
clean_sheets,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,False
clean_sheets,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
clean_sheets,GK,primary,stable,both,stable,weak_association,caveated,review_signal,False
clean_sheets,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
creativity,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,True
creativity,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
creativity,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
creativity,MID,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,True
fdr_avg,DEF,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_avg,FWD,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_avg,GK,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_avg,MID,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_max,DEF,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_max,FWD,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_max,GK,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_max,MID,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_min,DEF,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_min,FWD,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_min,GK,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_min,MID,primary,stable,both,stable,weak_association,caveated,context_control,True
fixture_count,DEF,primary,stable,both,stable,weak_association,caveated,context_control,False
fixture_count,FWD,primary,stable,both,stable,unassessable,blocked,,False
fixture_count,GK,primary,stable,both,stable,unassessable,blocked,,False
fixture_count,MID,primary,stable,both,stable,weak_association,caveated,context_control,False
goals_conceded,DEF,primary,stable,both,stable,continuous_monotonic,caveated,review_signal,False
goals_conceded,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
goals_conceded,GK,primary,stable,both,stable,continuous_monotonic,caveated,review_signal,False
goals_conceded,MID,primary,stable,both,stable,continuous_monotonic,caveated,review_signal,False
goals_scored,DEF,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
goals_scored,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
goals_scored,GK,primary,untested,both,stable,weak_association,blocked,,False
goals_scored,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
ict_index,DEF,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,True
ict_index,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
ict_index,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
ict_index,MID,primary,stable,both,stable,weak_association,caveated,review_signal,True
influence,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,True
influence,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
influence,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
influence,MID,primary,stable,both,stable,weak_association,caveated,review_signal,True
minutes,DEF,primary,stable,both,stable,weak_association,blocked,,False
minutes,FWD,primary,stable,both,stable,weak_association,blocked,,False
minutes,GK,primary,stable,both,stable,unassessable,blocked,,False
minutes,MID,primary,stable,both,stable,weak_association,blocked,,False
ownership_count,DEF,primary,stable,both,stable,weak_association,caveated,market_context,True
ownership_count,FWD,primary,stable,both,stable,weak_association,caveated,market_context,False
ownership_count,GK,primary,stable,both,stable,weak_association,caveated,market_context,False
ownership_count,MID,primary,stable,both,stable,weak_association,caveated,market_context,True
purchase_price,DEF,primary,stable,both,stable,upper_tail_concentrated,caveated,review_signal,False
purchase_price,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
purchase_price,GK,primary,stable,both,stable,weak_association,caveated,review_signal,False
purchase_price,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
red_cards,DEF,primary,stable,both,stable,unassessable,blocked,,False
red_cards,FWD,primary,untested,both,stable,weak_association,blocked,,False
red_cards,GK,primary,untested,both,stable,weak_association,blocked,,False
red_cards,MID,primary,stable,both,stable,unassessable,blocked,,False
saves,DEF,primary,untested,both,stable,weak_association,blocked,,False
saves,FWD,primary,untested,both,stable,weak_association,blocked,,False
saves,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
saves,MID,primary,untested,both,stable,weak_association,blocked,,False
starts,DEF,primary,stable,both,stable,weak_association,caveated,exposure_control,False
starts,FWD,primary,stable,both,stable,unassessable,blocked,,False
starts,GK,primary,stable,both,stable,unassessable,blocked,,False
starts,MID,primary,stable,both,stable,continuous_monotonic,caveated,exposure_control,False
threat,DEF,primary,stable,both,stable,weak_association,blocked,,False
threat,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
threat,GK,primary,stable,both,stable,unassessable,blocked,,False
threat,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
transfers_balance,DEF,primary,stable,both,stable,weak_association,caveated,market_context,False
transfers_balance,FWD,primary,stable,both,stable,weak_association,caveated,market_context,False
transfers_balance,GK,primary,stable,both,stable,upper_tail_concentrated,caveated,market_context,False
transfers_balance,MID,primary,stable,both,stable,weak_association,caveated,market_context,False
transfers_in,DEF,primary,stable,both,stable,weak_association,caveated,market_context,False
transfers_in,FWD,primary,stable,both,stable,weak_association,caveated,market_context,False
transfers_in,GK,primary,stable,both,stable,weak_association,caveated,market_context,False
transfers_in,MID,primary,stable,both,stable,weak_association,caveated,market_context,False
transfers_out,DEF,primary,stable,both,stable,upper_tail_concentrated,caveated,market_context,True
transfers_out,FWD,primary,stable,both,stable,upper_tail_concentrated,caveated,market_context,False
transfers_out,GK,primary,stable,both,stable,weak_association,caveated,market_context,False
transfers_out,MID,primary,stable,both,stable,weak_association,caveated,market_context,True
was_home,DEF,primary,stable,both,moderate_shift,weak_association,caveated,context_control,False
was_home,FWD,primary,stable,both,stable,weak_association,caveated,context_control,False
was_home,GK,primary,stable,both,stable,weak_association,caveated,context_control,False
was_home,MID,primary,stable,both,stable,weak_association,caveated,context_control,False
xa,DEF,primary,stable,both,stable,weak_association,blocked,,True
xa,FWD,primary,stable,both,stable,weak_association,blocked,,True
xa,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
xa,MID,primary,stable,both,stable,weak_association,caveated,review_signal,True
xg,DEF,primary,stable,both,stable,weak_association,blocked,,True
xg,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
xg,GK,primary,stable,both,stable,unassessable,blocked,,True
xg,MID,primary,stable,both,stable,weak_association,blocked,,True
xgc,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,False
xgc,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
xgc,GK,primary,stable,both,stable,weak_association,caveated,review_signal,False
xgc,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
xgi,DEF,primary,stable,both,stable,upper_tail_concentrated,caveated,review_signal,True
xgi,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
xgi,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
xgi,MID,primary,stable,both,stable,weak_association,caveated,review_signal,True
yellow_cards,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,False
yellow_cards,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
yellow_cards,GK,primary,stable,both,stable,weak_association,caveated,review_signal,False
yellow_cards,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
