signal_id,signal,position,block,target,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q5_q1_gap,is_monotonic,decision_relevant
AVAIL-001,minutes_roll3,GKP,full,played_next_gw,0.86,0.942,0.967,0.942,0.917,0.058,False,False
AVAIL-001,minutes_roll3,GKP,full,total_points_next_gw,2.942,3.517,3.417,2.625,3.24,0.298,False,False
AVAIL-001,minutes_roll3,GKP,early,played_next_gw,0.875,0.95,0.949,0.95,0.925,0.05,False,False
AVAIL-001,minutes_roll3,GKP,mid,played_next_gw,0.875,0.982,1.0,0.945,0.946,0.071,False,False
AVAIL-001,minutes_roll3,GKP,late,played_next_gw,0.8,0.84,0.92,0.8,0.96,0.16,False,False
AVAIL-001,minutes_roll3,DEF,full,played_next_gw,0.629,0.774,0.852,0.9,0.842,0.214,False,False
AVAIL-001,minutes_roll3,DEF,full,total_points_next_gw,2.429,2.869,3.441,3.32,3.373,0.944,False,False
AVAIL-001,minutes_roll3,DEF,early,played_next_gw,0.65,0.75,0.897,0.955,0.866,0.217,False,False
AVAIL-001,minutes_roll3,DEF,mid,played_next_gw,0.612,0.789,0.868,0.855,0.846,0.233,False,False
AVAIL-001,minutes_roll3,DEF,late,played_next_gw,0.616,0.796,0.745,0.908,0.808,0.192,False,False
AVAIL-001,minutes_roll3,MID,full,played_next_gw,0.601,0.723,0.772,0.832,0.88,0.279,True,True
AVAIL-001,minutes_roll3,MID,full,total_points_next_gw,2.605,3.067,3.358,3.729,3.698,1.094,False,False
AVAIL-001,minutes_roll3,MID,early,played_next_gw,0.537,0.756,0.767,0.858,0.893,0.356,True,True
AVAIL-001,minutes_roll3,MID,mid,played_next_gw,0.613,0.738,0.768,0.789,0.849,0.235,True,True
AVAIL-001,minutes_roll3,MID,late,played_next_gw,0.682,0.645,0.791,0.882,0.918,0.236,False,False
AVAIL-001,minutes_roll3,FWD,full,played_next_gw,0.639,0.681,0.706,0.874,0.84,0.202,False,False
AVAIL-001,minutes_roll3,FWD,full,total_points_next_gw,3.437,3.345,3.487,3.748,3.916,0.479,False,False
AVAIL-001,minutes_roll3,FWD,early,played_next_gw,0.75,0.556,0.778,0.917,0.861,0.111,False,False
AVAIL-001,minutes_roll3,FWD,mid,played_next_gw,0.544,0.661,0.754,0.875,0.86,0.316,False,False
AVAIL-001,minutes_roll3,FWD,late,played_next_gw,0.741,0.769,0.654,0.731,0.778,0.037,False,False
AVAIL-002,minutes_roll5,GKP,full,played_next_gw,0.862,0.944,0.972,0.944,0.945,0.083,False,False
AVAIL-002,minutes_roll5,GKP,full,total_points_next_gw,2.716,3.565,3.514,2.935,3.239,0.523,False,False
AVAIL-002,minutes_roll5,GKP,early,played_next_gw,0.929,0.964,1.0,0.929,1.0,0.071,False,False
AVAIL-002,minutes_roll5,GKP,mid,played_next_gw,0.875,0.982,0.982,0.945,0.964,0.089,False,False
AVAIL-002,minutes_roll5,GKP,late,played_next_gw,0.72,0.92,0.88,0.92,0.88,0.16,False,False
AVAIL-002,minutes_roll5,DEF,full,played_next_gw,0.638,0.776,0.813,0.899,0.864,0.226,False,False
AVAIL-002,minutes_roll5,DEF,full,total_points_next_gw,2.512,2.956,3.162,3.392,3.431,0.919,True,False
AVAIL-002,minutes_roll5,DEF,early,played_next_gw,0.661,0.759,0.87,0.963,0.89,0.229,False,False
AVAIL-002,minutes_roll5,DEF,mid,played_next_gw,0.643,0.767,0.833,0.863,0.863,0.22,True,True
AVAIL-002,minutes_roll5,DEF,late,played_next_gw,0.616,0.776,0.816,0.847,0.818,0.202,False,False
AVAIL-002,minutes_roll5,MID,full,played_next_gw,0.606,0.729,0.765,0.843,0.877,0.271,True,True
AVAIL-002,minutes_roll5,MID,full,total_points_next_gw,2.693,3.023,3.47,3.494,3.936,1.244,True,True
AVAIL-002,minutes_roll5,MID,early,played_next_gw,0.536,0.71,0.84,0.895,0.872,0.336,False,False
AVAIL-002,minutes_roll5,MID,mid,played_next_gw,0.601,0.764,0.759,0.781,0.853,0.252,False,False
AVAIL-002,minutes_roll5,MID,late,played_next_gw,0.655,0.682,0.773,0.882,0.927,0.273,True,True
AVAIL-002,minutes_roll5,FWD,full,played_next_gw,0.615,0.716,0.759,0.771,0.872,0.257,True,True
AVAIL-002,minutes_roll5,FWD,full,total_points_next_gw,3.037,3.798,3.75,3.165,4.046,1.009,False,False
AVAIL-002,minutes_roll5,FWD,early,played_next_gw,0.692,0.692,0.84,0.808,0.846,0.154,False,False
AVAIL-002,minutes_roll5,FWD,mid,played_next_gw,0.561,0.661,0.772,0.804,0.895,0.333,True,True
AVAIL-002,minutes_roll5,FWD,late,played_next_gw,0.704,0.731,0.731,0.769,0.741,0.037,False,False
AVAIL-003,minutes_roll8,GKP,full,played_next_gw,0.835,0.948,0.969,0.969,0.938,0.103,False,False
AVAIL-003,minutes_roll8,GKP,full,total_points_next_gw,2.701,3.312,4.0,2.875,3.258,0.557,False,False
AVAIL-003,minutes_roll8,GKP,early,played_next_gw,0.938,0.938,1.0,1.0,1.0,0.062,True,False
AVAIL-003,minutes_roll8,GKP,mid,played_next_gw,0.875,0.964,0.982,0.982,0.946,0.071,False,False
AVAIL-003,minutes_roll8,GKP,late,played_next_gw,0.68,0.96,0.88,0.92,0.88,0.2,False,False
AVAIL-003,minutes_roll8,DEF,full,played_next_gw,0.626,0.752,0.855,0.871,0.871,0.245,True,True
AVAIL-003,minutes_roll8,DEF,full,total_points_next_gw,2.392,2.811,3.406,3.01,3.659,1.267,False,False
AVAIL-003,minutes_roll8,DEF,early,played_next_gw,0.645,0.758,0.885,0.935,0.935,0.29,True,True
AVAIL-003,minutes_roll8,DEF,mid,played_next_gw,0.639,0.767,0.837,0.863,0.863,0.225,True,True
AVAIL-003,minutes_roll8,DEF,late,played_next_gw,0.606,0.704,0.857,0.878,0.828,0.222,False,False
AVAIL-003,minutes_roll8,MID,full,played_next_gw,0.625,0.709,0.78,0.804,0.895,0.27,True,True
AVAIL-003,minutes_roll8,MID,full,total_points_next_gw,2.745,3.064,3.434,3.473,3.99,1.246,True,True
AVAIL-003,minutes_roll8,MID,early,played_next_gw,0.528,0.732,0.792,0.859,0.931,0.403,True,True
AVAIL-003,minutes_roll8,MID,mid,played_next_gw,0.643,0.7,0.776,0.776,0.861,0.218,True,True
AVAIL-003,minutes_roll8,MID,late,played_next_gw,0.645,0.709,0.791,0.855,0.918,0.273,True,True
AVAIL-003,minutes_roll8,FWD,full,played_next_gw,0.616,0.673,0.776,0.755,0.879,0.263,False,False
AVAIL-003,minutes_roll8,FWD,full,total_points_next_gw,3.101,3.184,4.133,3.092,4.182,1.081,False,False
AVAIL-003,minutes_roll8,FWD,early,played_next_gw,0.625,0.733,0.733,0.867,0.812,0.188,False,False
AVAIL-003,minutes_roll8,FWD,mid,played_next_gw,0.579,0.661,0.754,0.768,0.93,0.351,True,True
AVAIL-003,minutes_roll8,FWD,late,played_next_gw,0.741,0.615,0.808,0.731,0.778,0.037,False,False
